,mapping_framework,mapping_framework_version,capability_group,capability_id,,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,references,comments,organization,creation_date,last_update
297,veris,1.3.7,action.hacking,action.hacking.variety.DoS,10,Denial of service,related-to,T1583.005,Acquire Infrastructure: Botnet,12.1,enterprise,[],,,4/6/23,4/6/23
298,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1583.005,Acquire Infrastructure: Botnet,12.1,enterprise,[],,,4/6/23,4/6/23
299,veris,1.3.7,value_chain.development,value_chain.development.variety.Bot,3,"A small program that can be distributed, installed, and controlled en mass.",related-to,T1583.005,Acquire Infrastructure: Botnet,12.1,enterprise,[],,,4/6/23,4/6/23
300,veris,1.3.7,action.hacking,action.hacking.variety.DoS,10,Denial of service,related-to,T1584.005,Compromise Infrastructure: Botnet,12.1,enterprise,[],,,4/6/23,4/6/23
301,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1584.005,Compromise Infrastructure: Botnet,12.1,enterprise,[],,,4/6/23,4/6/23
302,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1622,Debugger Evasion,12.1,enterprise,[],,,4/6/23,4/6/23
303,veris,1.3.7,action.malware,action.malware.variety.Evade Defenses,14,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1622,Debugger Evasion,12.1,enterprise,[],,,4/6/23,4/6/23
304,veris,1.3.7,action.social,action.social.variety.Evade Defenses,14,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1622,Debugger Evasion,12.1,enterprise,[],,,4/6/23,4/6/23
305,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1211,Exploitation for Defense Evasion,12.1,enterprise,[],,,4/6/23,4/6/23
306,veris,1.3.7,action.malware,action.malware.variety.Evade Defenses,14,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1211,Exploitation for Defense Evasion,12.1,enterprise,[],,,4/6/23,4/6/23
307,veris,1.3.7,action.social,action.social.variety.Evade Defenses,14,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1211,Exploitation for Defense Evasion,12.1,enterprise,[],,,4/6/23,4/6/23
308,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036,Masquerading,12.1,enterprise,[],,,4/6/23,4/6/23
309,veris,1.3.7,action.malware,action.malware.variety.Disable controls,45,Disable or interfere with security controls,related-to,T1036,Masquerading,12.1,enterprise,[],,,4/6/23,4/6/23
310,veris,1.3.7,action.malware,action.malware.variety.Evade Defenses,14,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036,Masquerading,12.1,enterprise,[],,,4/6/23,4/6/23
311,veris,1.3.7,action.malware,action.malware.vector.Email attachment,7,Email via user-executed attachment. Child of 'Email',related-to,T1036,Masquerading,12.1,enterprise,[],,,4/6/23,4/6/23
312,veris,1.3.7,action.social,action.social.variety.Evade Defenses,14,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036,Masquerading,12.1,enterprise,[],,,4/6/23,4/6/23
313,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1014,Rootkit,12.1,enterprise,[],,,4/6/23,4/6/23
314,veris,1.3.7,action.malware,action.malware.variety.Evade Defenses,14,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1014,Rootkit,12.1,enterprise,[],,,4/6/23,4/6/23
315,veris,1.3.7,action.malware,action.malware.variety.Rootkit,9,Rootkit (maintain local privileges and stealth),related-to,T1014,Rootkit,12.1,enterprise,[],,,4/6/23,4/6/23
316,veris,1.3.7,action.social,action.social.variety.Evade Defenses,14,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1014,Rootkit,12.1,enterprise,[],,,4/6/23,4/6/23
317,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1553,Subvert Trust Controls,12.1,enterprise,[],,,4/6/23,4/6/23
318,veris,1.3.7,action.malware,action.malware.variety.Disable controls,45,Disable or interfere with security controls,related-to,T1553,Subvert Trust Controls,12.1,enterprise,[],,,4/6/23,4/6/23
319,veris,1.3.7,action.malware,action.malware.variety.Evade Defenses,14,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1553,Subvert Trust Controls,12.1,enterprise,[],,,4/6/23,4/6/23
320,veris,1.3.7,action.social,action.social.variety.Evade Defenses,14,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1553,Subvert Trust Controls,12.1,enterprise,[],,,4/6/23,4/6/23
321,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1001,Data Obfuscation,12.1,enterprise,[],,,4/6/23,4/6/23
322,veris,1.3.7,action.malware,action.malware.variety.Unknown,29,Unknown,related-to,T1001,Data Obfuscation,12.1,enterprise,[],,,4/6/23,4/6/23
323,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1001.001,Data Obfuscation: Junk Data,12.1,enterprise,[],,,4/6/23,4/6/23
324,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1001.001,Data Obfuscation: Junk Data,12.1,enterprise,[],,,4/6/23,4/6/23
325,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1001.001,Data Obfuscation: Junk Data,12.1,enterprise,[],,,4/6/23,4/6/23
326,veris,1.3.7,action.malware,action.malware.variety.Unknown,29,Unknown,related-to,T1001.001,Data Obfuscation: Junk Data,12.1,enterprise,[],,,4/6/23,4/6/23
327,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1001.002,Data Obfuscation: Steganography,12.1,enterprise,[],,,4/6/23,4/6/23
328,veris,1.3.7,action.malware,action.malware.variety.Unknown,29,Unknown,related-to,T1001.002,Data Obfuscation: Steganography,12.1,enterprise,[],,,4/6/23,4/6/23
329,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1001.003,Data Obfuscation: Protocol Impersonation,12.1,enterprise,[],,,4/6/23,4/6/23
330,veris,1.3.7,action.malware,action.malware.variety.Unknown,29,Unknown,related-to,T1001.003,Data Obfuscation: Protocol Impersonation,12.1,enterprise,[],,,4/6/23,4/6/23
331,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1071,Application Layer Protocol,12.1,enterprise,[],,,4/6/23,4/6/23
332,veris,1.3.7,action.hacking,action.hacking.vector.Other network service,11,Network service that is not remote access or a web application.,related-to,T1071,Application Layer Protocol,12.1,enterprise,[],,,4/6/23,4/6/23
333,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1071,Application Layer Protocol,12.1,enterprise,[],,,4/6/23,4/6/23
334,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1071,Application Layer Protocol,12.1,enterprise,[],,,4/6/23,4/6/23
335,veris,1.3.7,action.malware,action.malware.variety.Unknown,29,Unknown,related-to,T1071,Application Layer Protocol,12.1,enterprise,[],,,4/6/23,4/6/23
336,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1132,Data Encoding,12.1,enterprise,[],,,4/6/23,4/6/23
337,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1132,Data Encoding,12.1,enterprise,[],,,4/6/23,4/6/23
338,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1132,Data Encoding,12.1,enterprise,[],,,4/6/23,4/6/23
339,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1132.001,Data Encoding: Standard Encoding,12.1,enterprise,[],,,4/6/23,4/6/23
340,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1132.001,Data Encoding: Standard Encoding,12.1,enterprise,[],,,4/6/23,4/6/23
341,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1132.001,Data Encoding: Standard Encoding,12.1,enterprise,[],,,4/6/23,4/6/23
342,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1132.002,Data Encoding: Non-Standard Encoding,12.1,enterprise,[],,,4/6/23,4/6/23
343,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1132.002,Data Encoding: Non-Standard Encoding,12.1,enterprise,[],,,4/6/23,4/6/23
344,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1132.002,Data Encoding: Non-Standard Encoding,12.1,enterprise,[],,,4/6/23,4/6/23
345,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1568,Dynamic Resolution,12.1,enterprise,[],,,4/6/23,4/6/23
346,veris,1.3.7,action.hacking,action.hacking.vector.Other network service,11,Network service that is not remote access or a web application.,related-to,T1568,Dynamic Resolution,12.1,enterprise,[],,,4/6/23,4/6/23
347,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1568,Dynamic Resolution,12.1,enterprise,[],,,4/6/23,4/6/23
348,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1568,Dynamic Resolution,12.1,enterprise,[],,,4/6/23,4/6/23
349,veris,1.3.7,action.malware,action.malware.vector.Download by malware,1,Downloaded and installed by local malware,related-to,T1568,Dynamic Resolution,12.1,enterprise,[],,,4/6/23,4/6/23
350,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1568.001,Dynamic Resolution: Fast Flux DSN,12.1,enterprise,[],,,4/6/23,4/6/23
351,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1568.001,Dynamic Resolution: Fast Flux DSN,12.1,enterprise,[],,,4/6/23,4/6/23
352,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1568.001,Dynamic Resolution: Fast Flux DSN,12.1,enterprise,[],,,4/6/23,4/6/23
353,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1568.002,Dynamic Resolution: Domain Generation Algorithms,12.1,enterprise,[],,,4/6/23,4/6/23
354,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1568.002,Dynamic Resolution: Domain Generation Algorithms,12.1,enterprise,[],,,4/6/23,4/6/23
355,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1568.002,Dynamic Resolution: Domain Generation Algorithms,12.1,enterprise,[],,,4/6/23,4/6/23
356,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1568.003,Dynamic Resolution: DNS Calculation,12.1,enterprise,[],,,4/6/23,4/6/23
357,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1568.003,Dynamic Resolution: DNS Calculation,12.1,enterprise,[],,,4/6/23,4/6/23
358,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1568.003,Dynamic Resolution: DNS Calculation,12.1,enterprise,[],,,4/6/23,4/6/23
359,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1573,Encrypted Channels,12.1,enterprise,[],,,4/6/23,4/6/23
360,veris,1.3.7,action.hacking,action.hacking.vector.Other network service,11,Network service that is not remote access or a web application.,related-to,T1573,Encrypted Channels,12.1,enterprise,[],,,4/6/23,4/6/23
361,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1573,Encrypted Channels,12.1,enterprise,[],,,4/6/23,4/6/23
362,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1573,Encrypted Channels,12.1,enterprise,[],,,4/6/23,4/6/23
363,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1573.002,Encrypted Channels: Asymmetric Cryptography,12.1,enterprise,[],,,4/6/23,4/6/23
364,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1573.002,Encrypted Channels: Asymmetric Cryptography,12.1,enterprise,[],,,4/6/23,4/6/23
365,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1573.002,Encrypted Channels: Asymmetric Cryptography,12.1,enterprise,[],,,4/6/23,4/6/23
366,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1573.001,Encrypted Channels: Symmetric Cryptography,12.1,enterprise,[],,,4/6/23,4/6/23
367,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1573.001,Encrypted Channels: Symmetric Cryptography,12.1,enterprise,[],,,4/6/23,4/6/23
368,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1573.001,Encrypted Channels: Symmetric Cryptography,12.1,enterprise,[],,,4/6/23,4/6/23
369,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1008,Fallback Channels,12.1,enterprise,[],,,4/6/23,4/6/23
370,veris,1.3.7,action.hacking,action.hacking.vector.Other network service,11,Network service that is not remote access or a web application.,related-to,T1008,Fallback Channels,12.1,enterprise,[],,,4/6/23,4/6/23
371,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1008,Fallback Channels,12.1,enterprise,[],,,4/6/23,4/6/23
372,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1008,Fallback Channels,12.1,enterprise,[],,,4/6/23,4/6/23
373,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1104,Multi-Stage Channels,12.1,enterprise,[],,,4/6/23,4/6/23
374,veris,1.3.7,action.hacking,action.hacking.vector.Other network service,11,Network service that is not remote access or a web application.,related-to,T1104,Multi-Stage Channels,12.1,enterprise,[],,,4/6/23,4/6/23
375,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1104,Multi-Stage Channels,12.1,enterprise,[],,,4/6/23,4/6/23
376,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1104,Multi-Stage Channels,12.1,enterprise,[],,,4/6/23,4/6/23
377,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1572,Protocol Tunneling,12.1,enterprise,[],,,4/6/23,4/6/23
378,veris,1.3.7,action.hacking,action.hacking.vector.Other network service,11,Network service that is not remote access or a web application.,related-to,T1572,Protocol Tunneling,12.1,enterprise,[],,,4/6/23,4/6/23
379,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1572,Protocol Tunneling,12.1,enterprise,[],,,4/6/23,4/6/23
380,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1572,Protocol Tunneling,12.1,enterprise,[],,,4/6/23,4/6/23
381,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1090,Proxy,12.1,enterprise,[],,,4/6/23,4/6/23
382,veris,1.3.7,action.hacking,action.hacking.vector.Other network service,11,Network service that is not remote access or a web application.,related-to,T1090,Proxy,12.1,enterprise,[],,,4/6/23,4/6/23
383,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1090,Proxy,12.1,enterprise,[],,,4/6/23,4/6/23
384,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1090,Proxy,12.1,enterprise,[],,,4/6/23,4/6/23
385,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1205,Traffic Signaling,12.1,enterprise,[],,,4/6/23,4/6/23
386,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1205,Traffic Signaling,12.1,enterprise,[],,,4/6/23,4/6/23
387,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1205,Traffic Signaling,12.1,enterprise,[],,,4/6/23,4/6/23
388,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1205.001,Traffic Signaling: Port Knocking,12.1,enterprise,[],,,4/6/23,4/6/23
389,veris,1.3.7,action.malware,action.malware.variety.Backdoor,13,Malware creates a backdoor capability for hacking. Child of 'RAT' when combined with 'Trojan'. Child of 'Backdoor or C2'.,related-to,T1205.001,Traffic Signaling: Port Knocking,12.1,enterprise,[],,,4/6/23,4/6/23
390,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1205.001,Traffic Signaling: Port Knocking,12.1,enterprise,[],,,4/6/23,4/6/23
391,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1205.001,Traffic Signaling: Port Knocking,12.1,enterprise,[],,,4/6/23,4/6/23
392,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1205.002,Traffic Signaling: Socket Filters,12.1,enterprise,[],,,4/6/23,4/6/23
393,veris,1.3.7,action.hacking,action.hacking.variety.Evade Defenses,37,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1102,Web Service,12.1,enterprise,[],,,4/6/23,4/6/23
394,veris,1.3.7,action.hacking,action.hacking.vector.Other network service,11,Network service that is not remote access or a web application.,related-to,T1102,Web Service,12.1,enterprise,[],,,4/6/23,4/6/23
395,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1102,Web Service,12.1,enterprise,[],,,4/6/23,4/6/23
396,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1102,Web Service,12.1,enterprise,[],,,4/6/23,4/6/23
397,veris,1.3.7,action.hacking,action.hacking.variety.Exploit misconfig,12,Exploit a misconfiguration (vs vuln or weakness),related-to,T1068,Exploitation for Privilege Escalation,12.1,enterprise,[],,,4/6/23,4/6/23
398,veris,1.3.7,action.hacking,action.hacking.variety.Exploit vuln,6,"Exploit vulnerability in code (vs misconfig or weakness). This can be used with other hacking enumerations, (such as XSS when an XSS vuln exists.). Parent of many hacking varieties.",related-to,T1068,Exploitation for Privilege Escalation,12.1,enterprise,[],,,4/6/23,4/6/23
399,veris,1.3.7,action.hacking,action.hacking.variety.Format string attack,1,Format string attack. Child of 'Exploit vuln'.,related-to,T1068,Exploitation for Privilege Escalation,12.1,enterprise,[],,,4/6/23,4/6/23
400,veris,1.3.7,action.hacking,action.hacking.variety.Fuzz testing,1,Fuzz testing. Child of 'Exploit vuln'.,related-to,T1068,Exploitation for Privilege Escalation,12.1,enterprise,[],,,4/6/23,4/6/23
401,veris,1.3.7,action.hacking,action.hacking.variety.Insecure deserialization,1,iterating over sequential or obvious values. https://www.owasp.org/index.php/Top_10-2017_A8-Insecure_Deserialization. Child of 'Exploit vuln'.,related-to,T1068,Exploitation for Privilege Escalation,12.1,enterprise,[],,,4/6/23,4/6/23
402,veris,1.3.7,action.hacking,action.hacking.variety.Integer overflows,1,Integer overflows. Child of 'Exploit vuln'.,related-to,T1068,Exploitation for Privilege Escalation,12.1,enterprise,[],,,4/6/23,4/6/23
403,veris,1.3.7,action.hacking,action.hacking.variety.LDAP injection,1,LDAP injection. Child of 'Exploit vuln'.,related-to,T1068,Exploitation for Privilege Escalation,12.1,enterprise,[],,,4/6/23,4/6/23
404,veris,1.3.7,action.malware,action.malware.variety.Exploit misconfig,3,Exploit a misconfiguration (vs vuln or weakness),related-to,T1068,Exploitation for Privilege Escalation,12.1,enterprise,[],,,4/6/23,4/6/23
405,veris,1.3.7,action.hacking,action.hacking.variety.Exploit misconfig,12,Exploit a misconfiguration (vs vuln or weakness),related-to,T1190,Exploit Public-Facing Application,12.1,enterprise,[],,,4/6/23,4/6/23
406,veris,1.3.7,action.hacking,action.hacking.variety.SQLi,1,SQL injection. Child of 'Exploit vuln'.,related-to,T1190,Exploit Public-Facing Application,12.1,enterprise,[],,,4/6/23,4/6/23
407,veris,1.3.7,action.hacking,action.hacking.variety.Exploit misconfig,12,Exploit a misconfiguration (vs vuln or weakness),related-to,T1212,Exploitation for Credential Access,12.1,enterprise,[],,,4/6/23,4/6/23
408,veris,1.3.7,action.hacking,action.hacking.variety.Exploit vuln,6,"Exploit vulnerability in code (vs misconfig or weakness). This can be used with other hacking enumerations, (such as XSS when an XSS vuln exists.). Parent of many hacking varieties.",related-to,T1212,Exploitation for Credential Access,12.1,enterprise,[],,,4/6/23,4/6/23
409,veris,1.3.7,action.hacking,action.hacking.variety.Session fixation,2,Session fixation. Child of 'Exploit vuln'.,related-to,T1212,Exploitation for Credential Access,12.1,enterprise,[],,,4/6/23,4/6/23
410,veris,1.3.7,action.malware,action.malware.variety.Disable controls,45,Disable or interfere with security controls,related-to,T1212,Exploitation for Credential Access,12.1,enterprise,[],,,4/6/23,4/6/23
411,veris,1.3.7,action.malware,action.malware.variety.Password dumper,24,Password dumper (extract credential hashes),related-to,T1212,Exploitation for Credential Access,12.1,enterprise,[],,,4/6/23,4/6/23
412,veris,1.3.7,action.malware,action.malware.vector.Web application - drive-by,3,"Web via auto-executed or ""drive-by"" infection. Child of 'Web application'.",related-to,T1212,Exploitation for Credential Access,12.1,enterprise,[],,,4/6/23,4/6/23
413,veris,1.3.7,attribute.confidentiality,attribute.confidentiality.data_disclosure,69,,related-to,T1212,Exploitation for Credential Access,12.1,enterprise,[],,,4/6/23,4/6/23
414,veris,1.3.7,action.hacking,action.hacking.variety.Exploit misconfig,12,Exploit a misconfiguration (vs vuln or weakness),related-to,T1558.004,Steal or Forge Kerberos Tickets: AS-REP Roasting,12.1,enterprise,[],,,4/6/23,4/6/23
415,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1558.004,Steal or Forge Kerberos Tickets: AS-REP Roasting,12.1,enterprise,[],,,4/6/23,4/6/23
416,veris,1.3.7,action.malware,action.malware.variety.Exploit misconfig,3,Exploit a misconfiguration (vs vuln or weakness),related-to,T1558.004,Steal or Forge Kerberos Tickets: AS-REP Roasting,12.1,enterprise,[],,,4/6/23,4/6/23
417,veris,1.3.7,action.hacking,action.hacking.variety.Exploit misconfig,12,Exploit a misconfiguration (vs vuln or weakness),related-to,T1574.001,Hijack Execution Flow: DLL Search Order Hijacking,12.1,enterprise,[],,,4/6/23,4/6/23
418,veris,1.3.7,action.hacking,action.hacking.variety.Exploit vuln,6,"Exploit vulnerability in code (vs misconfig or weakness). This can be used with other hacking enumerations, (such as XSS when an XSS vuln exists.). Parent of many hacking varieties.",related-to,T1574.001,Hijack Execution Flow: DLL Search Order Hijacking,12.1,enterprise,[],,,4/6/23,4/6/23
419,veris,1.3.7,action.hacking,action.hacking.variety.Hijack,10,To assume control over and steal functionality for an illicit purpose (e.g. Hijacking phone number intercept SMS verification codes),related-to,T1574.001,Hijack Execution Flow: DLL Search Order Hijacking,12.1,enterprise,[],,,4/6/23,4/6/23
